1,Ford,Mustang GR.3,6.5,5.0,4.0,4.0,6.6,549,1300,450000
2,Chevrolet,Corvette C7 GR.3,6.5,5.2,3.9,3.9,6.2,551,1300,450000
3,Dodge,Viper SRT GT3-R,7.3,5.6,3.9,3.9,5.9,678,1290,450000
4,Jaguar,F-TYPE GR.3,6.7,5.1,4.0,4.0,6.2,551,1250,450000
5,Aston Martin,V12 Vantage GT3,6.1,5.3,4.1,4.1,6.5,519,1250,450000
6,McLaren,650S GT3,6.1,4.4,4.0,4.0,5.7,506,1240,450000
7,VW,GTI VGT,6.7,5.2,3.8,3.8,6.0,551,1260,450000
8,VW,Beetle GR.3,6.9,5.4,4.2,4.3,6.6,591,1200,450000
9,Mercedes,SLS AMG GT3,6.6,5.3,3.9,3.9,6.2,570,1350,450000
10,Mercedes,SLS AMG GT GT3,6.8,5.5,3.9,4.0,6.2,613,1325,450000
11,BMW,Z4 GT3,6.3,5.5,4.0,4.1,6.3,508,1190,450000
12,BMW,M6 GT3,6.6,5.0,4.1,4.1,6.2,583,1300,450000
13,BMW,M6 GT3 Livery,6.6,5.0,4.1,4.1,6.2,583,1300,450000
14,Audi,R8 LMS,7.0,5.5,4.0,4.0,5.6,585,1225,450000
15,Porsche,911 RSR,6.3,4.6,4.0,4.0,6.0,509,1243,450000
16,Renault,Sport R.S.01 GT3,6.4,5.8,4.0,4.0,6.0,534,1220,450000
17,Peugot,VGT,7.0,5.5,3.9,3.9,6.1,542,1250,450000
18,Peugot,RCZ GR.3,6.1,5.6,4.1,4.1,6.1,516,1200,450000
19,Citroën,GT,7.0,5.9,4.0,4.0,5.6,599,1200,450000
20,Alfa Romeo,4C GR.3,6.3,5.6,3.9,3.9,5.9,495,1220,450000
21,Ferrari,458 Italia GT3,6.5,5.9,4.0,4.0,5.5,542,1215,450000
22,Lamborghini,Huracán GT3,6.9,6.0,4.0,4.0,5.5,576,1230,450000
23,Toyota,FT-1 VGT,6.6,5.2,4.0,4.0,6.1,544,1280,450000
24,Nissan,GT-R Nismo GT3 N24,6.0,4.9,4.1,4.1,7.0,542,1300,450000
25,Honda,NSX GR.3,6.7,5.8,3.9,3.9,5.6,568,1300,450000
26,Mazda,Atenza GR.3,5.9,5.0,4.2,4.2,6.5,567,1280,450000
27,Subaru,WRX GR.3,6.1,5.2,4.2,4.2,6.6,521,1280,450000
28,Mitsubishi,Lancer EVO GR.3,6.1,5.1,4.2,4.1,6.5,521,1290,450000
29,Lexus,RC F GT3,6.1,5.1,4.1,4.1,6.6,521,1300,450000
30,Hyundai,Genesis GR.3,5.7,5.0,4.1,4.1,6.5,509,1250,450000
