1,Subaru,WRX,6.0,6.7,3.1,3.2,6.6,377,0,350000
2,Mitsubishi,Lancer Evolution Final Edition,6.0,6.1,3.2,3.2,6.6,389,0,350000
3,Nissan,GT-R,6.5,5.5,3.1,3.1,6.4,428,0,350000
4,Mazda,Atenza,6.1,5.0,3.1,3.1,6.6,393,0,350000
5,Citroen,GT by Citroen,6.3,5.3,3.1,3.2,5.9,394,0,350000
6,Mercedes-Benz,SLS AMG,6.5,5.1,3.1,3.1,5.9,419,0,350000
7,McLaren,650S,6.2,5.3,3.1,3.1,5.9,399,0,350000
8,Renault,Megane,5.9,3.6,3.3,3.3,7.5,350,0,350000
9,Chevrolet,Corvette C7,6.5,4.8,3.1,3.1,6.0,414,0,350000
10,Porsche,Cayman GT4 Clubsport 2016,6.5,5.1,3.1,3.1,5.7,379,0,350000
11,Dodge,Viper,6.3,4.7,3.1,3.2,6.1,428,0,350000
12,Jaguar,F-Type,6.4,4.6,3.1,3.1,6.1,399,0,350000
13,Volkswagen,Scirocco,6.1,3.4,3.3,3.3,7.2,358,0,350000
14,Alfa Romeo,4C,5.8,5.6,3.2,3.2,5.5,295,0,350000
15,Lamborghini,Huracan,6.6,4.4,3.1,3.1,6.0,404,0,350000
16,Aston Martin,Vantage,6.4,4.7,3.0,3.1,6.0,399,0,350000
17,Hyundai,Genesis,6.1,4.5,3.1,3.2,6.3,384,0,350000
18,Peugeot,RCZ,5.8,3.6,3.2,3.2,7.2,345,0,350000
19,BMW,M4,6.2,4.5,3.1,3.1,6.0,394,0,350000
20,Audi,TT Cup 2016,5.9,3.4,3.3,3.3,7.0,335,0,350000
21,Lexus,RC F,6.3,4.6,3.0,3.0,5.9,419,0,350000
22,Ford,Mustang,6.1,4.4,3.1,3.1,6.1,395,0,350000
23,Ferrari,458 Italia,6.3,4.5,3.0,3.1,5.9,374,0,350000
24,Honda,NSX,6.4,4.4,3.1,3.1,5.7,394,0,350000
25,Bugatti,Veyron,6.4,4.3,3.0,3.0,5.9,433,0,350000
26,Toyota,86,6.1,4.3,3.1,3.1,5.9,358,0,350000
